대학,단과대학,학과,전형분류,전형,정원,약어,비고
서울대학교,인문대학,인문계열,학생부종합전형,지역균형선발전형,55,SNU,
서울대학교,인문대학,국어국문학과,학생부종합전형,일반전형,9,SNU,
서울대학교,인문대학,중어중문학과,학생부종합전형,일반전형,9,SNU,
서울대학교,인문대학,영어영문학과,학생부종합전형,일반전형,9,SNU,
서울대학교,인문대학,불어불문학과,학생부종합전형,일반전형,9,SNU,
서울대학교,인문대학,독어독문학과,학생부종합전형,일반전형,9,SNU,
서울대학교,인문대학,노어노문학과,학생부종합전형,일반전형,9,SNU,
서울대학교,인문대학,서어서문학과,학생부종합전형,일반전형,9,SNU,
서울대학교,인문대학,언어학과,학생부종합전형,일반전형,9,SNU,
서울대학교,인문대학,아시아언어문명학부,학생부종합전형,일반전형,9,SNU,
서울대학교,인문대학,국사학과,학생부종합전형,일반전형,9,SNU,
서울대학교,인문대학,동양사학과,학생부종합전형,일반전형,9,SNU,
서울대학교,인문대학,서양사학과,학생부종합전형,일반전형,9,SNU,
서울대학교,인문대학,고고미술사학과,학생부종합전형,일반전형,9,SNU,
서울대학교,인문대학,철학과,학생부종합전형,일반전형,9,SNU,
서울대학교,인문대학,종교학과,학생부종합전형,일반전형,9,SNU,
서울대학교,인문대학,미학과,학생부종합전형,일반전형,9,SNU,
서울대학교,사회과학대학,정치외교학부,학생부종합전형,지역균형선발전형,23,SNU,
서울대학교,사회과학대학,정치외교학부,학생부종합전형,일반전형,26,SNU,
서울대학교,사회과학대학,경제학부,학생부종합전형,지역균형선발전형,40,SNU,
서울대학교,사회과학대학,경제학부,학생부종합전형,일반전형,64,SNU,
서울대학교,사회과학대학,사회학과,학생부종합전형,지역균형선발전형,7,SNU,
서울대학교,사회과학대학,사회학과,학생부종합전형,일반전형,10,SNU,
서울대학교,사회과학대학,인류학과,학생부종합전형,지역균형선발전형,7,SNU,
서울대학교,사회과학대학,인류학과,학생부종합전형,일반전형,13,SNU,
서울대학교,사회과학대학,심리학과,학생부종합전형,지역균형선발전형,7,SNU,
서울대학교,사회과학대학,심리학과,학생부종합전형,일반전형,8,SNU,
서울대학교,사회과학대학,지리학과,학생부종합전형,지역균형선발전형,7,SNU,
서울대학교,사회과학대학,지리학과,학생부종합전형,일반전형,9,SNU,
서울대학교,사회과학대학,사회복지학과,학생부종합전형,지역균형선발전형,7,SNU,
서울대학교,사회과학대학,사회복지학과,학생부종합전형,일반전형,7,SNU,
서울대학교,사회과학대학,언론정보학과,학생부종합전형,일반전형,14,SNU,
서울대학교,자연과학대학,수리과학부,학생부종합전형,지역균형선발전형,9,SNU,
서울대학교,자연과학대학,수리과학부,학생부종합전형,일반전형,18,SNU,
서울대학교,자연과학대학,통계학과,학생부종합전형,지역균형선발전형,9,SNU,
서울대학교,자연과학대학,통계학과,학생부종합전형,일반전형,16,SNU,
서울대학교,자연과학대학,물리천문학부 - 물리학전공,학생부종합전형,지역균형선발전형,9,SNU,
서울대학교,자연과학대학,물리천문학부 - 물리학전공,학생부종합전형,일반전형,24,SNU,
서울대학교,자연과학대학,물리천문학부 - 천문학전공,학생부종합전형,일반전형,6,SNU,
서울대학교,자연과학대학,화학부,학생부종합전형,지역균형선발전형,9,SNU,
서울대학교,자연과학대학,화학부,학생부종합전형,일반전형,21,SNU,
서울대학교,자연과학대학,생명과학부,학생부종합전형,지역균형선발전형,13,SNU,
서울대학교,자연과학대학,생명과학부,학생부종합전형,일반전형,27,SNU,
서울대학교,자연과학대학,지구환경과학부,학생부종합전형,지역균형선발전형,6,SNU,
서울대학교,자연과학대학,지구환경과학부,학생부종합전형,일반전형,25,SNU,
서울대학교,간호대학,간호학과,학생부종합전형,지역균형선발전형,12,SNU,
서울대학교,간호대학,간호학과,학생부종합전형,일반전형,32,SNU,
서울대학교,경영대학,경영학과,학생부종합전형,지역균형선발전형,27,SNU,
서울대학교,경영대학,경영학과,학생부종합전형,일반전형,50,SNU,
서울대학교,공과대학,건설환경공학부,학생부종합전형,지역균형선발전형,9,SNU,
서울대학교,공과대학,건설환경공학부,학생부종합전형,일반전형,29,SNU,
서울대학교,공과대학,기계공학부,학생부종합전형,지역균형선발전형,24,SNU,
서울대학교,공과대학,기계공학부,학생부종합전형,일반전형,55,SNU,
서울대학교,공과대학,재료공학부,학생부종합전형,지역균형선발전형,20,SNU,
서울대학교,공과대학,재료공학부,학생부종합전형,일반전형,42,SNU,
서울대학교,공과대학,전기정보공학부,학생부종합전형,지역균형선발전형,33,SNU,
서울대학교,공과대학,전기정보공학부,학생부종합전형,일반전형,80,SNU,
서울대학교,공과대학,컴퓨터공학부,학생부종합전형,지역균형선발전형,22,SNU,
서울대학교,공과대학,컴퓨터공학부,학생부종합전형,일반전형,28,SNU,
서울대학교,공과대학,화학생물공학부,학생부종합전형,지역균형선발전형,17,SNU,
서울대학교,공과대학,화학생물공학부,학생부종합전형,일반전형,45,SNU,
서울대학교,공과대학,건축학과,학생부종합전형,지역균형선발전형,11,SNU,
서울대학교,공과대학,건축학과,학생부종합전형,일반전형,28,SNU,
서울대학교,공과대학,산업공학과,학생부종합전형,지역균형선발전형,7,SNU,
서울대학교,공과대학,산업공학과,학생부종합전형,일반전형,12,SNU,
서울대학교,공과대학,에너지자원공학과,학생부종합전형,지역균형선발전형,8,SNU,
서울대학교,공과대학,에너지자원공학과,학생부종합전형,일반전형,17,SNU,
서울대학교,공과대학,원자핵공학과,학생부종합전형,지역균형선발전형,11,SNU,
서울대학교,공과대학,원자핵공학과,학생부종합전형,일반전형,17,SNU,
